policy,items,auto_count,safe_auto_count,auto_share,auto_accept_precision_teacher_safe,review_count,review_share,review_needed_recall,unsafe_reviewed_recall,unsafe_auto_released,teacher_safe_auto_released
FSGR default,30,7,6,0.2333,0.8571,23,0.7667,1.0,1.0,0,6
LLM-as-judge (judge),30,9,7,0.3,0.7778,21,0.7,0.9474,1.0,0,7
Issue-type rule only,30,11,6,0.3667,0.5455,19,0.6333,0.7895,0.8667,2,6
Probability-only cutoff,30,7,6,0.2333,0.8571,23,0.7667,1.0,1.0,0,6
Review all,30,0,0,0.0,,30,1.0,1.0,1.0,0,0
Auto-release all,30,30,10,1.0,0.3333,0,0.0,0.0,0.0,15,10
